timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,1998,26,,,,,2002,26,,,,
100,2000,5,1999.0,6.0,1998.0,20.0,2002,20,,,,
200,1999,1,1998.0,30.0,,,2002,31,,,,
300,1999,27,,,,,2002,27,,,,
400,1999,20,,,,,2002,20,,,,
500,2001,1,1999.0,30.0,,,2002,30,,,,
600,1999,30,,,,,2002,30,,,,
700,1999,28,,,,,2002,28,,,,
800,2001,1,1999.0,23.0,,,2002,23,,,,
900,2000,2,1999.0,30.0,,,2002,30,,,,
1000,1999,24,,,,,2001,8,2002.0,24.0,,
1100,1999,25,,,,,2001,3,2002.0,26.0,,
1200,1999,28,,,,,2002,28,,,,
1300,2000,3,1999.0,23.0,,,2002,23,,,,
1400,1999,26,,,,,2001,2,2002.0,26.0,,
1500,1999,27,,,,,2002,27,,,,
1600,1999,24,,,,,2002,24,,,,
1700,1999,28,,,,,2001,2,2002.0,28.0,,
1800,1999,24,,,,,2001,1,2002.0,24.0,,
1900,2001,1,1999.0,26.0,,,2002,26,,,,
2000,1999,31,,,,,2001,2,2002.0,31.0,,
2100,2000,4,1999.0,22.0,,,2002,22,,,,
2200,1999,26,,,,,2002,26,,,,
2300,1999,30,,,,,2002,30,,,,
2400,1999,30,,,,,2002,30,,,,
2500,1999,21,,,,,2002,21,,,,
2600,1999,6,1998.0,22.0,,,2002,22,,,,
2700,1998,27,,,,,2000,4,2002.0,27.0,,
2800,1998,28,,,,,2002,28,,,,
2900,1998,30,,,,,2002,30,,,,
3000,1998,28,,,,,2002,28,,,,
3100,2001,1,1999.0,1.0,1998.0,25.0,2002,25,,,,
3200,1998,28,,,,,2002,28,,,,
3300,1999,6,1998.0,20.0,,,2002,20,,,,
3400,1998,26,,,,,2001,23,,,,
3500,2000,1,1998.0,31.0,,,2001,31,,,,
3600,1998,26,,,,,2001,26,,,,
3700,1998,27,,,,,2001,2,2002.0,25.0,,
3800,1999,29,,,,,2002,27,,,,
3900,1999,26,,,,,2001,1,2002.0,26.0,,
4000,1999,31,,,,,2002,27,,,,
4100,1999,28,,,,,2001,5,2002.0,28.0,,
4200,1999,24,,,,,2002,25,,,,
4300,1999,26,,,,,2002,26,,,,
4400,1999,29,,,,,2001,2,2002.0,29.0,,
4500,1999,30,,,,,2002,30,,,,
4600,1999,31,,,,,2002,31,,,,
4700,1999,30,,,,,2002,30,,,,
4800,1999,26,,,,,2002,26,,,,
4900,1999,24,,,,,2002,24,,,,
5000,1999,18,,,,,2002,21,,,,
5100,1999,31,,,,,2002,31,,,,
5200,1999,27,,,,,2002,27,,,,
5300,1999,23,,,,,2002,23,,,,
5400,1999,30,,,,,2002,30,,,,
5500,2001,4,1999.0,31.0,,,2002,30,,,,
5600,2000,6,1999.0,32.0,,,2002,32,,,,
5700,1999,29,,,,,2001,4,2002.0,29.0,,
5800,1999,28,,,,,2002,28,,,,
5900,1999,29,,,,,2002,29,,,,
6000,1999,23,,,,,2002,23,,,,
6100,1999,1,1998.0,26.0,,,2002,27,,,,
6200,1999,10,1998.0,23.0,,,2002,25,,,,
6300,1998,26,,,,,2002,26,,,,
6400,1998,26,,,,,1999,1,2002.0,26.0,,
6500,1999,1,1998.0,21.0,,,2002,22,,,,
6600,1999,1,1998.0,23.0,,,2002,25,,,,
6700,1999,24,,,,,2002,28,,,,
6800,1999,32,,,,,2002,24,,,,
6900,1999,28,,,,,2002,28,,,,
7000,1999,24,,,,,2001,5,2002.0,24.0,,
7100,1999,21,,,,,2002,26,,,,
7200,1999,27,,,,,2002,27,,,,
7300,1999,27,,,,,2002,28,,,,
7400,2001,1,1998.0,28.0,,,2002,28,,,,
7500,1999,1,1998.0,25.0,,,2002,26,,,,
7600,1999,2,1998.0,28.0,,,2002,30,,,,
7700,1999,1,1998.0,25.0,,,2002,26,,,,
7800,2000,1,1999.0,1.0,1998.0,21.0,2002,22,,,,
7900,1998,30,,,,,2002,30,,,,
8000,1998,24,,,,,2002,24,,,,
8100,1998,21,,,,,2002,21,,,,
8200,2000,1,1998.0,30.0,,,2002,30,,,,
8300,1999,2,1998.0,29.0,,,2002,29,,,,
8400,1998,25,,,,,2002,25,,,,
8500,1998,24,,,,,2000,2,2001.0,1.0,2002.0,23.0
8600,1998,28,,,,,2001,1,2002.0,27.0,,
8700,2000,9,1999.0,6.0,1998.0,24.0,2002,24,,,,
8800,2000,1,1998.0,20.0,,,2002,20,,,,
8900,1998,28,,,,,2001,27,,,,
9000,1998,31,,,,,2000,7,2001.0,31.0,,
9100,1998,24,,,,,2001,24,,,,
9200,1998,28,,,,,2001,28,,,,
9300,1999,5,1998.0,28.0,,,2001,28,,,,
9400,1998,27,,,,,2000,7,2001.0,27.0,,
9500,1998,29,,,,,2001,25,,,,
9600,1999,3,1998.0,35.0,,,2001,31,,,,
9700,1998,30,,,,,2001,30,,,,
9800,1997,32,,,,,2000,25,,,,
9900,1997,27,,,,,1999,1,2000.0,2.0,2001.0,25.0
10000,1997,31,,,,,2001,31,,,,
10100,1999,6,1998.0,25.0,,,2001,25,,,,
10200,1998,30,,,,,2001,30,,,,
10300,2000,1,1998.0,23.0,,,2001,23,,,,
10400,1998,23,,,,,2001,23,,,,
10500,1998,20,,,,,2001,20,,,,
10600,1998,30,,,,,2000,4,2001.0,30.0,,
10700,1998,29,,,,,2001,29,,,,
10800,1998,24,,,,,2001,24,,,,
10900,1998,22,,,,,2001,22,,,,
