day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,volatility,total_volume,bid_depth,ask_depth,total_depth
-1,0,RAINFOREST_RESIN,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0,0.0,2,,3,32.0,31.0,63.0
-1,0,KELP,2028,1,2026.0,2.0,2025.0,29.0,2029,31,,,,,2028.5,0.0,1,,32,32.0,31.0,63.0
-1,100,KELP,2025,24,,,,,2028,2,2029.0,22.0,,,2026.5,0.0,3,,26,24.0,24.0,48.0
-1,100,RAINFOREST_RESIN,9996,2,9995.0,22.0,,,10004,2,10005.0,22.0,,,10000.0,0.0,8,,4,24.0,24.0,48.0
-1,200,RAINFOREST_RESIN,9995,20,,,,,10005,20,,,,,10000.0,0.0,10,4367.266041243652,40,20.0,20.0,40.0
-1,200,KELP,2025,22,,,,,2028,20,,,,,2026.5,0.0,3,4366.900740227558,42,22.0,20.0,42.0
-1,300,KELP,2025,31,,,,,2028,2,2029.0,29.0,,,2026.5,0.0,3,4367.265812267442,33,31.0,31.0,62.0
-1,300,RAINFOREST_RESIN,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,0.0,8,4367.265812267442,4,31.0,31.0,62.0
-1,400,RAINFOREST_RESIN,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,0.0,8,4367.265812267442,4,27.0,27.0,54.0
-1,400,KELP,2025,27,,,,,2028,27,,,,,2026.5,0.0,3,4367.265812267442,54,27.0,27.0,54.0
-1,500,KELP,2025,30,,,,,2028,30,,,,,2026.5,0.0,3,4367.265812267442,60,30.0,30.0,60.0
-1,500,RAINFOREST_RESIN,9995,30,,,,,10002,4,10005.0,30.0,,,9998.5,0.0,7,4366.991993924422,34,30.0,34.0,64.0
-1,600,RAINFOREST_RESIN,10000,5,9995.0,25.0,,,10005,25,,,,,10002.5,0.0,5,4367.448620190054,30,30.0,25.0,55.0
-1,600,KELP,2026,5,2025.0,31.0,,,2028,25,,,,,2027.0,0.0,2,4367.448620190054,30,36.0,25.0,61.0
-1,700,KELP,2025,2,2024.0,23.0,,,2028,23,,,,,2026.5,0.0,3,4367.448620190054,25,25.0,23.0,48.0
-1,700,RAINFOREST_RESIN,9995,23,,,,,10005,23,,,,,10000.0,0.0,10,4367.311693135722,46,23.0,23.0,46.0
-1,800,RAINFOREST_RESIN,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,0.0,8,4367.585439919865,2,30.0,30.0,60.0
-1,800,KELP,2024,1,2023.0,29.0,,,2027,30,,,,,2025.5,0.0,3,4367.357132752026,31,30.0,30.0,60.0
-1,900,KELP,2024,23,,,,,2027,23,,,,,2025.5,0.0,3,4367.630979718868,46,23.0,23.0,46.0
-1,900,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,8,4367.813534824947,2,23.0,23.0,46.0
-1,1000,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000.0,0.0,10,4367.813534824947,52,26.0,26.0,52.0
-1,1000,KELP,2024,26,,,,,2026,6,2027.0,26.0,,,2025.0,0.0,2,4367.904826687504,32,26.0,32.0,58.0
-1,1100,KELP,2025,6,2024.0,26.0,,,2027,2,2028.0,24.0,,,2026.0,0.0,2,4367.813549134166,8,32.0,26.0,58.0
-1,1100,RAINFOREST_RESIN,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0,8,4367.813549134166,4,26.0,26.0,52.0
-1,1200,RAINFOREST_RESIN,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5,0.0,3,4367.17477323727,22,21.0,22.0,43.0
-1,1200,KELP,2024,21,,,,,2026,8,2028.0,21.0,,,2025.0,0.0,2,4366.946501847716,29,21.0,29.0,50.0
-1,1300,KELP,2024,31,,,,,2028,31,,,,,2026.0,0.0,4,4366.763927670008,62,31.0,31.0,62.0
-1,1300,RAINFOREST_RESIN,10002,1,9996.0,1.0,9995.0,30.0,10004,1,10005.0,30.0,,,10003.0,0.0,2,4367.722867811098,2,32.0,31.0,63.0
-1,1400,RAINFOREST_RESIN,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0,8,4367.722867811098,2,26.0,26.0,52.0
-1,1400,KELP,2025,3,2024.0,25.0,,,2028,26,,,,,2026.5,0.0,3,4368.452706622792,29,28.0,26.0,54.0
-1,1500,KELP,2024,27,,,,,2028,27,,,,,2026.0,0.0,4,4368.270103828288,54,27.0,27.0,54.0
-1,1500,RAINFOREST_RESIN,9995,27,,,,,10005,27,,,,,10000.0,0.0,10,4367.950640746756,54,27.0,27.0,54.0
-1,1600,RAINFOREST_RESIN,9995,29,,,,,10005,29,,,,,10000.0,0.0,10,4367.402746484459,58,29.0,29.0,58.0
-1,1600,KELP,2024,29,,,,,2026,4,2028.0,29.0,,,2025.0,0.0,2,4367.630994028686,33,29.0,33.0,62.0
-1,1700,KELP,2024,22,,,,,2026,8,2028.0,22.0,,,2025.0,0.0,2,4367.904840996424,30,22.0,30.0,52.0
-1,1700,RAINFOREST_RESIN,9996,2,9995.0,20.0,,,10002,1,10004.0,2.0,10005.0,20.0,9999.0,0.0,6,4367.904840996424,3,22.0,23.0,45.0
