id,side,timestamp,price,volume,mid_price,cluster
1,bid,0,1998.0,26.0,2000.0,0
2,ask,0,2002.0,26.0,2000.0,1
3,bid,100,1998.0,26.0,2000.0,0
4,bid,200,1997.0,31.0,1998.5,0
5,ask,200,2001.0,30.0,1998.5,1
6,bid,300,1997.0,27.0,1998.5,0
7,ask,300,2000.0,27.0,1998.5,1
8,bid,500,1997.0,30.0,1999.5,0
9,ask,500,2000.0,30.0,1999.5,1
10,bid,600,1997.0,30.0,1999.0,0
11,ask,600,2001.0,30.0,1999.0,1
12,bid,700,1999.0,28.0,2000.5,0
13,ask,700,2002.0,28.0,2000.5,1
14,bid,800,1999.0,23.0,2002.5,0
15,ask,800,2003.0,23.0,2002.5,1
16,bid,900,1998.0,30.0,2000.0,0
17,ask,900,2001.0,30.0,2000.0,1
18,bid,1000,1999.0,24.0,2000.0,0
19,ask,1000,2002.0,24.0,2000.0,1
20,bid,1100,1999.0,25.0,2000.0,0
21,ask,1100,2002.0,26.0,2000.0,1
22,bid,1200,1998.0,28.0,2000.0,0
23,ask,1200,2002.0,28.0,2000.0,1
24,bid,1300,1998.0,23.0,2000.0,0
25,ask,1300,2001.0,23.0,2000.0,1
26,bid,1400,1996.0,26.0,1997.0,0
27,ask,1400,2000.0,26.0,1997.0,1
28,bid,1500,1996.0,25.0,1998.5,0
29,ask,1500,2000.0,27.0,1998.5,1
30,bid,1600,1997.0,24.0,1999.0,0
31,ask,1600,2001.0,24.0,1999.0,1
32,bid,1700,1998.0,28.0,1999.0,0
33,ask,1700,2001.0,28.0,1999.0,1
34,bid,1800,1997.0,24.0,1998.0,0
35,ask,1800,2001.0,24.0,1998.0,1
36,bid,1900,1999.0,26.0,2001.5,0
37,ask,1900,2002.0,26.0,2001.5,1
38,bid,2000,1999.0,31.0,2000.0,0
39,ask,2000,2002.0,31.0,2000.0,1
40,bid,2100,1999.0,22.0,2001.5,0
41,ask,2100,2002.0,22.0,2001.5,1
42,bid,2200,1999.0,26.0,2000.5,0
43,ask,2200,2002.0,26.0,2000.5,1
44,bid,2300,1998.0,30.0,1999.5,0
