id,side,timestamp,price,volume,mid_price
1,bid,0,1998.0,26.0,2000.0
2,ask,0,2002.0,26.0,2000.0
3,bid,100,1998.0,26.0,2000.0
4,bid,200,1997.0,31.0,1998.5
5,ask,200,2001.0,30.0,1998.5
6,bid,300,1997.0,27.0,1998.5
7,ask,300,2000.0,27.0,1998.5
8,bid,500,1997.0,30.0,1999.5
9,ask,500,2000.0,30.0,1999.5
10,bid,600,1997.0,30.0,1999.0
11,ask,600,2001.0,30.0,1999.0
12,bid,700,1999.0,28.0,2000.5
13,ask,700,2002.0,28.0,2000.5
14,bid,800,1999.0,23.0,2002.5
15,ask,800,2003.0,23.0,2002.5
16,bid,900,1998.0,30.0,2000.0
17,ask,900,2001.0,30.0,2000.0
18,bid,1000,1999.0,24.0,2000.0
19,ask,1000,2002.0,24.0,2000.0
20,bid,1100,1999.0,25.0,2000.0
21,ask,1100,2002.0,26.0,2000.0
22,bid,1200,1998.0,28.0,2000.0
23,ask,1200,2002.0,28.0,2000.0
24,bid,1300,1998.0,23.0,2000.0
25,ask,1300,2001.0,23.0,2000.0
26,bid,1400,1996.0,26.0,1997.0
27,ask,1400,2000.0,26.0,1997.0
28,bid,1500,1996.0,25.0,1998.5
29,ask,1500,2000.0,27.0,1998.5
30,bid,1600,1997.0,24.0,1999.0
31,ask,1600,2001.0,24.0,1999.0
32,bid,1700,1998.0,28.0,1999.0
33,ask,1700,2001.0,28.0,1999.0
34,bid,1800,1997.0,24.0,1998.0
35,ask,1800,2001.0,24.0,1998.0
36,bid,1900,1999.0,26.0,2001.5
37,ask,1900,2002.0,26.0,2001.5
38,bid,2000,1999.0,31.0,2000.0
39,ask,2000,2002.0,31.0,2000.0
40,bid,2100,1999.0,22.0,2001.5
41,ask,2100,2002.0,22.0,2001.5
42,bid,2200,1999.0,26.0,2000.5
43,ask,2200,2002.0,26.0,2000.5
44,bid,2300,1998.0,30.0,1999.5
45,ask,2300,2001.0,30.0,1999.5
46,bid,2400,1999.0,30.0,2000.5
47,ask,2400,2002.0,30.0,2000.5
48,bid,2500,1999.0,21.0,2001.0
49,ask,2500,2003.0,21.0,2001.0
50,bid,2600,2000.0,28.0,2001.5
51,ask,2600,2003.0,22.0,2001.5
52,bid,2700,2000.0,27.0,2001.0
53,ask,2700,2003.0,27.0,2001.0
54,bid,2800,2000.0,28.0,2001.5
55,ask,2800,2003.0,28.0,2001.5
56,bid,2900,2001.0,30.0,2002.5
57,ask,2900,2004.0,30.0,2002.5
58,bid,3000,2001.0,28.0,2002.5
59,ask,3000,2004.0,28.0,2002.5
60,bid,3100,2000.0,26.0,2002.5
61,ask,3100,2003.0,25.0,2002.5
62,bid,3200,1999.0,28.0,2000.5
63,ask,3200,2002.0,28.0,2000.5
