order_level,timestamp,price,volume,side
1,0,2002.0,26.0,ask
1,0,2006.0,31.0,ask
1,0,1971.0,30.0,ask
2,0,,,ask
2,0,,,ask
2,0,,,ask
3,0,,,ask
3,0,,,ask
3,0,,,ask
1,0,1998.0,26.0,bid
1,0,2005.0,1.0,bid
1,0,1968.0,30.0,bid
2,0,,,bid
2,0,2002.0,31.0,bid
2,0,,,bid
3,0,,,bid
3,0,,,bid
3,0,,,bid
1,100,2001.0,20.0,ask
1,100,2007.0,24.0,ask
1,100,1971.0,31.0,ask
2,100,,,ask
2,100,,,ask
2,100,,,ask
3,100,,,ask
3,100,,,ask
3,100,,,ask
1,100,1999.0,5.0,bid
1,100,2004.0,24.0,bid
1,100,1969.0,4.0,bid
2,100,1998.0,26.0,bid
2,100,,,bid
2,100,1967.0,31.0,bid
3,100,,,bid
3,100,,,bid
3,100,,,bid
1,200,2000.0,1.0,ask
1,200,2006.0,20.0,ask
1,200,1969.0,22.0,ask
2,200,2001.0,30.0,ask
2,200,,,ask
2,200,,,ask
3,200,,,ask
3,200,,,ask
3,200,,,ask
1,200,1997.0,31.0,bid
1,200,2003.0,22.0,bid
1,200,1966.0,1.0,bid
2,200,,,bid
2,200,,,bid
2,200,1965.0,21.0,bid
3,200,,,bid
3,200,,,bid
3,200,,,bid
1,300,2000.0,27.0,ask
1,300,2006.0,31.0,ask
1,300,1968.0,25.0,ask
2,300,,,ask
2,300,,,ask
2,300,,,ask
3,300,,,ask
3,300,,,ask
3,300,,,ask
1,300,1997.0,27.0,bid
1,300,2003.0,31.0,bid
1,300,1965.0,25.0,bid
2,300,,,bid
2,300,,,bid
2,300,,,bid
3,300,,,bid
3,300,,,bid
3,300,,,bid
1,400,2000.0,20.0,ask
1,400,2007.0,27.0,ask
1,400,1968.0,6.0,ask
2,400,,,ask
2,400,,,ask
2,400,1969.0,25.0,ask
3,400,,,ask
3,400,,,ask
3,400,,,ask
1,400,1996.0,20.0,bid
1,400,2004.0,27.0,bid
1,400,1966.0,25.0,bid
2,400,,,bid
2,400,,,bid
2,400,,,bid
3,400,,,bid
3,400,,,bid
3,400,,,bid
1,500,2000.0,30.0,ask
1,500,2007.0,30.0,ask
1,500,1970.0,24.0,ask
2,500,,,ask
2,500,,,ask
2,500,,,ask
3,500,,,ask
3,500,,,ask
3,500,,,ask
1,500,1999.0,1.0,bid
1,500,2004.0,30.0,bid
1,500,1966.0,24.0,bid
2,500,1997.0,30.0,bid
2,500,,,bid
2,500,,,bid
3,500,,,bid
3,500,,,bid
3,500,,,bid
1,600,2001.0,30.0,ask
1,600,2008.0,25.0,ask
1,600,1968.0,26.0,ask
2,600,,,ask
2,600,,,ask
2,600,,,ask
3,600,,,ask
3,600,,,ask
3,600,,,ask
1,600,1997.0,30.0,bid
1,600,2006.0,5.0,bid
1,600,1965.0,26.0,bid
2,600,,,bid
2,600,2005.0,6.0,bid
2,600,,,bid
3,600,,,bid
3,600,2004.0,25.0,bid
3,600,,,bid
1,700,2002.0,28.0,ask
1,700,2009.0,23.0,ask
1,700,1970.0,27.0,ask
2,700,,,ask
2,700,,,ask
2,700,,,ask
3,700,,,ask
3,700,,,ask
3,700,,,ask
1,700,1999.0,28.0,bid
1,700,2006.0,2.0,bid
1,700,1967.0,32.0,bid
2,700,,,bid
2,700,2005.0,23.0,bid
2,700,,,bid
3,700,,,bid
3,700,,,bid
3,700,,,bid
1,800,2003.0,23.0,ask
1,800,2008.0,1.0,ask
1,800,1970.0,26.0,ask
2,800,,,ask
2,800,2009.0,29.0,ask
2,800,,,ask
3,800,,,ask
3,800,,,ask
3,800,,,ask
1,800,2002.0,1.0,bid
1,800,2005.0,30.0,bid
1,800,1967.0,26.0,bid
2,800,1999.0,23.0,bid
2,800,,,bid
2,800,,,bid
3,800,,,bid
3,800,,,bid
3,800,,,bid
1,900,2001.0,30.0,ask
1,900,2008.0,23.0,ask
1,900,1970.0,29.0,ask
2,900,,,ask
2,900,,,ask
2,900,,,ask
3,900,,,ask
3,900,,,ask
3,900,,,ask
1,900,1999.0,2.0,bid
1,900,2005.0,23.0,bid
1,900,1966.0,29.0,bid
2,900,1998.0,30.0,bid
2,900,,,bid
2,900,,,bid
3,900,,,bid
3,900,,,bid
3,900,,,bid
1,1000,2001.0,8.0,ask
1,1000,2007.0,6.0,ask
1,1000,1970.0,28.0,ask
2,1000,2002.0,24.0,ask
2,1000,2009.0,26.0,ask
2,1000,,,ask
3,1000,,,ask
3,1000,,,ask
3,1000,,,ask
1,1000,1999.0,24.0,bid
1,1000,2005.0,26.0,bid
1,1000,1967.0,28.0,bid
2,1000,,,bid
2,1000,,,bid
2,1000,,,bid
3,1000,,,bid
3,1000,,,bid
3,1000,,,bid
1,1100,2001.0,3.0,ask
1,1100,2009.0,2.0,ask
1,1100,1971.0,25.0,ask
2,1100,2002.0,26.0,ask
2,1100,2010.0,24.0,ask
2,1100,,,ask
3,1100,,,ask
3,1100,,,ask
3,1100,,,ask
1,1100,1999.0,25.0,bid
1,1100,2007.0,6.0,bid
1,1100,1968.0,31.0,bid
2,1100,,,bid
2,1100,2006.0,26.0,bid
2,1100,,,bid
3,1100,,,bid
3,1100,,,bid
3,1100,,,bid
1,1200,2002.0,28.0,ask
1,1200,2008.0,8.0,ask
1,1200,1971.0,30.0,ask
2,1200,,,ask
2,1200,2009.0,21.0,ask
2,1200,,,ask
3,1200,,,ask
3,1200,,,ask
3,1200,,,ask
1,1200,1998.0,28.0,bid
1,1200,2006.0,21.0,bid
1,1200,1968.0,38.0,bid
2,1200,,,bid
2,1200,,,bid
2,1200,,,bid
3,1200,,,bid
3,1200,,,bid
3,1200,,,bid
1,1300,2001.0,23.0,ask
1,1300,2010.0,31.0,ask
1,1300,1971.0,28.0,ask
2,1300,,,ask
2,1300,,,ask
2,1300,,,ask
3,1300,,,ask
3,1300,,,ask
3,1300,,,ask
1,1300,1999.0,3.0,bid
1,1300,2007.0,31.0,bid
1,1300,1968.0,23.0,bid
2,1300,1998.0,23.0,bid
2,1300,,,bid
2,1300,,,bid
3,1300,,,bid
3,1300,,,bid
3,1300,,,bid
1,1400,1998.0,2.0,ask
1,1400,2009.0,26.0,ask
1,1400,1972.0,26.0,ask
2,1400,2000.0,26.0,ask
2,1400,,,ask
2,1400,,,ask
3,1400,,,ask
3,1400,,,ask
3,1400,,,ask
1,1400,1996.0,26.0,bid
1,1400,2006.0,28.0,bid
1,1400,1969.0,1.0,bid
2,1400,,,bid
2,1400,,,bid
2,1400,1968.0,24.0,bid
3,1400,,,bid
3,1400,,,bid
3,1400,,,bid
1,1500,2000.0,27.0,ask
1,1500,2010.0,27.0,ask
1,1500,1972.0,22.0,ask
2,1500,,,ask
2,1500,,,ask
2,1500,,,ask
3,1500,,,ask
3,1500,,,ask
3,1500,,,ask
1,1500,1997.0,2.0,bid
1,1500,2006.0,27.0,bid
1,1500,1971.0,1.0,bid
2,1500,1996.0,25.0,bid
2,1500,,,bid
2,1500,1969.0,22.0,bid
3,1500,,,bid
3,1500,,,bid
3,1500,,,bid
1,1600,2001.0,24.0,ask
1,1600,2009.0,4.0,ask
1,1600,1974.0,23.0,ask
2,1600,,,ask
2,1600,2011.0,29.0,ask
2,1600,,,ask
3,1600,,,ask
3,1600,,,ask
3,1600,,,ask
1,1600,1997.0,24.0,bid
1,1600,2007.0,29.0,bid
1,1600,1970.0,23.0,bid
2,1600,,,bid
2,1600,,,bid
2,1600,,,bid
3,1600,,,bid
3,1600,,,bid
3,1600,,,bid
1,1700,2000.0,2.0,ask
1,1700,2009.0,8.0,ask
1,1700,1972.0,8.0,ask
2,1700,2001.0,28.0,ask
2,1700,2010.0,22.0,ask
2,1700,1973.0,27.0,ask
3,1700,,,ask
3,1700,,,ask
3,1700,,,ask
1,1700,1998.0,28.0,bid
1,1700,2007.0,22.0,bid
1,1700,1970.0,27.0,bid
2,1700,,,bid
2,1700,,,bid
2,1700,,,bid
3,1700,,,bid
3,1700,,,bid
3,1700,,,bid
1,1800,1999.0,1.0,ask
1,1800,2011.0,23.0,ask
1,1800,1974.0,27.0,ask
2,1800,2001.0,24.0,ask
2,1800,,,ask
2,1800,,,ask
3,1800,,,ask
3,1800,,,ask
3,1800,,,ask
1,1800,1997.0,24.0,bid
1,1800,2008.0,1.0,bid
1,1800,1971.0,35.0,bid
2,1800,,,bid
2,1800,2007.0,22.0,bid
2,1800,,,bid
3,1800,,,bid
3,1800,,,bid
3,1800,,,bid
1,1900,2002.0,26.0,ask
1,1900,2010.0,5.0,ask
1,1900,1972.0,31.0,ask
2,1900,,,ask
2,1900,2011.0,29.0,ask
2,1900,,,ask
3,1900,,,ask
3,1900,,,ask
3,1900,,,ask
1,1900,2001.0,1.0,bid
1,1900,2008.0,29.0,bid
1,1900,1969.0,31.0,bid
2,1900,1999.0,26.0,bid
2,1900,,,bid
2,1900,,,bid
3,1900,,,bid
3,1900,,,bid
3,1900,,,bid
1,2000,2001.0,2.0,ask
1,2000,2012.0,26.0,ask
1,2000,1975.0,26.0,ask
2,2000,2002.0,31.0,ask
2,2000,,,ask
2,2000,,,ask
3,2000,,,ask
3,2000,,,ask
3,2000,,,ask
1,2000,1999.0,31.0,bid
1,2000,2009.0,26.0,bid
1,2000,1972.0,19.0,bid
2,2000,,,bid
2,2000,,,bid
2,2000,,,bid
3,2000,,,bid
3,2000,,,bid
3,2000,,,bid
1,2100,2002.0,22.0,ask
1,2100,2011.0,27.0,ask
1,2100,1974.0,23.0,ask
2,2100,,,ask
2,2100,,,ask
2,2100,,,ask
3,2100,,,ask
3,2100,,,ask
3,2100,,,ask
1,2100,2001.0,4.0,bid
1,2100,2007.0,27.0,bid
1,2100,1971.0,23.0,bid
2,2100,1999.0,22.0,bid
2,2100,,,bid
2,2100,,,bid
3,2100,,,bid
3,2100,,,bid
3,2100,,,bid
1,2200,2002.0,26.0,ask
1,2200,2010.0,7.0,ask
1,2200,1975.0,32.0,ask
2,2200,,,ask
2,2200,2011.0,1.0,ask
2,2200,,,ask
3,2200,,,ask
3,2200,2012.0,24.0,ask
3,2200,,,ask
1,2200,1999.0,26.0,bid
1,2200,2008.0,25.0,bid
1,2200,1972.0,2.0,bid
2,2200,,,bid
2,2200,,,bid
2,2200,1971.0,30.0,bid
3,2200,,,bid
3,2200,,,bid
3,2200,,,bid
